experiment,seed,window,accuracy,alert_level,cosine_drift,max_jsd,max_wasserstein
Covariate,9,19,0.837152209492635,critical,0.0009573101997375488,0.0834215880517509,0.5668378637533772
Covariate,10,1,0.8394758394758395,ok,0.00029718875885009766,0.002582086551791098,0.04909597877685721
Covariate,10,2,0.8427518427518428,ok,0.0006884932518005371,0.003212317024865666,0.061418322699844666
Covariate,10,3,0.8394758394758395,ok,0.0005085468292236328,0.003404152433793688,0.06683817540007865
Covariate,10,4,0.85995085995086,ok,0.0005944371223449707,0.0028490817765325993,0.04971946819695313
Covariate,10,5,0.8615888615888616,ok,0.0003796815872192383,0.003336884289586873,0.05096197724006735
Covariate,10,6,0.8583128583128583,ok,0.0007094740867614746,0.0033072930621557313,0.057491155785953076
Covariate,10,7,0.8509418509418509,ok,0.00023221969604492188,0.0027858452178166106,0.0332775261540772
Covariate,10,8,0.8452088452088452,ok,0.000370025634765625,0.0031878848655585972,0.05731142364277118
Covariate,10,9,0.8480753480753481,warning,0.000917971134185791,0.0029719352848020424,0.0589531219536156
Covariate,10,10,0.8533988533988534,warning,0.001026153564453125,0.022599167152301387,0.20393525784398353
Covariate,10,11,0.8382473382473382,critical,0.0014487504959106445,0.027040486401334135,0.23184833392936793
Covariate,10,12,0.8345618345618345,critical,0.0012728571891784668,0.024543988562644073,0.20966179938994528
Covariate,10,13,0.8456183456183456,critical,0.0011597275733947754,0.019323037497523635,0.2565136458854524
Covariate,10,14,0.8509418509418509,critical,0.0011740326881408691,0.020747853018655636,0.2339252780537128
Covariate,10,15,0.8288288288288288,critical,0.006898224353790283,0.06496444045169825,0.6109330570627972
Covariate,10,16,0.8243243243243243,critical,0.0053972601890563965,0.06039078379063702,0.5777071625263911
Covariate,10,17,0.8218673218673219,critical,0.005865871906280518,0.06468489550736263,0.6080266895131811
Covariate,10,18,0.8308763308763308,critical,0.0066640377044677734,0.0654404373171272,0.6162211835867953
Covariate,10,19,0.8473813420621932,critical,0.0060610175132751465,0.06359121841325358,0.5448138888169415
Covariate,11,1,0.8402948402948403,ok,0.0001965165138244629,0.002328459523720347,0.03775543333252436
Covariate,11,2,0.8447993447993448,ok,0.00035840272903442383,0.003009409028604835,0.050434290326370555
Covariate,11,3,0.8513513513513513,ok,9.423494338989258e-05,0.003643372183434253,0.030621228438426795
Covariate,11,4,0.8497133497133497,ok,0.00019061565399169922,0.003413392257002551,0.03801739105575678
Covariate,11,5,0.852989352989353,ok,0.00020945072174072266,0.002902524761651845,0.03923412024735317
Covariate,11,6,0.852989352989353,warning,0.00030487775802612305,0.0023042984792285342,0.050026862011823124
Covariate,11,7,0.8480753480753481,warning,0.0003624558448791504,0.0033176886630400704,0.04804194720448997
Covariate,11,8,0.8452088452088452,warning,0.00031107664108276367,0.0026615740231895803,0.04002396863860244
Covariate,11,9,0.8501228501228502,warning,0.0007359981536865234,0.0029407070532800382,0.07385376160987243
Covariate,11,10,0.8321048321048321,warning,0.0009782910346984863,0.03970485998970667,0.2823052652746825
Covariate,11,11,0.8554463554463555,critical,0.0008823275566101074,0.04843868274290846,0.2952687625800805
Covariate,11,12,0.8431613431613432,critical,0.0009641647338867188,0.04988661568124741,0.2812492687081236
Covariate,11,13,0.8476658476658476,critical,0.0008854866027832031,0.043779636880245026,0.30299921498630494
Covariate,11,14,0.8505323505323505,critical,0.001092374324798584,0.040328111625965085,0.2657597621696021
Covariate,11,15,0.8321048321048321,critical,0.001871645450592041,0.13058584530656764,0.6105070575675299
Covariate,11,16,0.828009828009828,critical,0.0012462139129638672,0.1398023920003656,0.6289638213979777
Covariate,11,17,0.819000819000819,critical,0.0010827183723449707,0.12980472612027377,0.632779904308269
Covariate,11,18,0.8427518427518428,critical,0.0014414191246032715,0.12849637359915608,0.5775014156190392
Covariate,11,19,0.8240589198036007,critical,0.0012760162353515625,0.1488383199108675,0.6645932163562305
Covariate,12,1,0.8513513513513513,ok,0.00016313791275024414,0.0031694243869152482,0.04284354946001849
Covariate,12,2,0.8480753480753481,ok,0.00025516748428344727,0.004400101342464609,0.038753513701376086
Covariate,12,3,0.8435708435708436,ok,0.00010412931442260742,0.0032867792357884184,0.04139595736067903
Covariate,12,4,0.8521703521703522,warning,0.00041478872299194336,0.0037633203093055904,0.0573828236723856
Covariate,12,5,0.8517608517608518,warning,0.00014036893844604492,0.0031272926681374705,0.04521729530643659
