experiment,window,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,cosine_drift_mean,max_jsd_mean,alert_rate
Covariate,17,0.8297461097461096,0.8246595692408212,0.8348326502513981,0.003356947898864746,0.10648657484980298,1.0
Covariate,18,0.8306961506961507,0.8266325801943372,0.8347597211979642,0.0035039210319519043,0.10799430168067065,1.0
Covariate,19,0.8326186579378069,0.8286884665510628,0.836548849324551,0.0034781575202941896,0.10806622522052291,1.0
Concept (pooled),1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Concept (pooled),2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Concept (pooled),3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.08
Concept (pooled),4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.36
Concept (pooled),5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.4
Concept (pooled),6,0.839148239148239,0.8361217218913184,0.8421747564051596,0.0003754806518554688,0.0032194225147733966,0.56
Concept (pooled),7,0.8315806715806715,0.828036836253676,0.835124506907667,0.00036402702331542967,0.003338165367853446,0.52
Concept (pooled),8,0.8226863226863229,0.8203375278779285,0.8250351174947174,0.0003901052474975586,0.003159531063754705,0.56
Concept (pooled),9,0.8112530712530712,0.8081673732503665,0.814338769255776,0.0004350805282592773,0.003261246095677077,0.64
Concept (pooled),10,0.8052907452907454,0.8021991884405727,0.8083823021409181,0.00043012619018554686,0.003429193200896849,0.72
Concept (pooled),11,0.7925634725634724,0.7891662644293594,0.7959606806975853,0.00048404455184936524,0.0031692498134827936,0.68
Concept (pooled),12,0.7841277641277642,0.7803709090981624,0.787884619157366,0.0003230428695678711,0.00327320853364804,0.44
Concept (pooled),13,0.7768386568386567,0.772635849068611,0.7810414646087024,0.00046858310699462893,0.003213704791590933,0.56
Concept (pooled),14,0.764848484848485,0.7611047720870088,0.7685921976099612,0.00039309024810791016,0.0031802815476747004,0.48
Concept (pooled),15,0.7584766584766587,0.7552215754769527,0.7617317414763647,0.00033544301986694337,0.003159668305354904,0.48
Concept (pooled),16,0.7483538083538083,0.7443453861433139,0.7523622305643026,0.00042583942413330076,0.003076960775949721,0.44
Concept (pooled),17,0.737985257985258,0.7341366737900754,0.7418338421804407,0.0003394865989685059,0.003308144574393944,0.44
Concept (pooled),18,0.7346928746928748,0.7292971758662782,0.7400885735194714,0.0004004192352294922,0.003210028760489546,0.56
Concept (pooled),19,0.7264157119476269,0.7218615732747049,0.7309698506205489,0.0003560948371887207,0.003232988919172034,0.6
Concept (class-cond),1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Concept (class-cond),2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Concept (class-cond),3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.16
Concept (class-cond),4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.48
Concept (class-cond),5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.72
